model,macro_f1,weighted_f1,accuracy,latency_ms_per_sample,n_samples
majority_baseline,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0005889814794365386,720
logistic_regression,0.7504194888939191,0.7504194888939192,0.7541666666666667,0.05681407407825679,720
complement_naive_bayes,0.7261588160168282,0.7261588160168283,0.7375,0.07005328703868414,720
